[supervision] 200 meetings across 2 server(s)
[supervision] (1/200) AlamedaCC_01072020 steps=7 nop=0 items=4 dirty=1
[supervision] (2/200) AlamedaCC_01152019 steps=8 nop=0 items=4 dirty=3
[supervision] (3/200) AlamedaCC_02052019 steps=15 nop=0 items=3 dirty=6
[supervision] (4/200) AlamedaCC_03012016 steps=17 nop=0 items=7 dirty=6
[supervision] (5/200) AlamedaCC_03032015 steps=14 nop=0 items=5 dirty=3
[supervision] (6/200) AlamedaCC_04022019 steps=16 nop=2 items=7 dirty=7
[supervision] (7/200) AlamedaCC_04042017 steps=15 nop=0 items=1 dirty=2
[supervision] (8/200) AlamedaCC_05052020 steps=12 nop=0 items=9 dirty=5
[supervision] (9/200) AlamedaCC_05172016 steps=9 nop=0 items=5 dirty=3
[supervision] (10/200) AlamedaCC_05192015 steps=14 nop=1 items=7 dirty=6
[supervision] (11/200) AlamedaCC_06162020 steps=13 nop=0 items=9 dirty=6
[supervision] (12/200) AlamedaCC_07052017 steps=12 nop=0 items=5 dirty=3
[supervision] (13/200) AlamedaCC_07162015 steps=6 nop=0 items=4 dirty=3
[supervision] (14/200) AlamedaCC_07192016 steps=9 nop=0 items=2 dirty=3
[supervision] (15/200) AlamedaCC_07212020 steps=13 nop=0 items=11 dirty=7
[supervision] (16/200) AlamedaCC_09012015 steps=14 nop=0 items=8 dirty=4
[supervision] (17/200) AlamedaCC_09032019 steps=13 nop=1 items=10 dirty=5
[supervision] (18/200) AlamedaCC_09062016 steps=11 nop=0 items=1 dirty=3
[supervision] (19/200) AlamedaCC_09152020 steps=10 nop=0 items=8 dirty=5
[supervision] (20/200) AlamedaCC_09192017 steps=10 nop=0 items=3 dirty=5
[supervision] (21/200) AlamedaCC_10062020 steps=8 nop=0 items=4 dirty=4
[supervision] (22/200) AlamedaCC_11072018 steps=8 nop=0 items=3 dirty=2
[supervision] (23/200) AlamedaCC_11162021 steps=11 nop=0 items=4 dirty=4
[supervision] (24/200) AlamedaCC_12182018 steps=6 nop=0 items=3 dirty=3
[supervision] (25/200) AlamedaCC_12202016 steps=8 nop=1 items=9 dirty=2
[supervision] (26/200) AlamedaCC_12212021 steps=12 nop=0 items=6 dirty=4
[supervision] (27/200) BostonCC_12012021 steps=3 nop=0 items=8 dirty=1
[supervision] (28/200) DenverCityCouncil_01022019 steps=1 nop=0 items=4 dirty=0
[supervision] (29/200) DenverCityCouncil_01032017 steps=3 nop=0 items=3 dirty=1
[supervision] (30/200) DenverCityCouncil_01032022 steps=10 nop=0 items=8 dirty=2
[supervision] (31/200) DenverCityCouncil_01192021 steps=5 nop=0 items=4 dirty=1
[supervision] (32/200) DenverCityCouncil_01232017 steps=3 nop=0 items=4 dirty=0
[supervision] (33/200) DenverCityCouncil_01262015 steps=2 nop=0 items=1 dirty=0
[supervision] (34/200) DenverCityCouncil_01282019 steps=6 nop=0 items=1 dirty=2
[supervision] (35/200) DenverCityCouncil_02072022 steps=5 nop=0 items=5 dirty=0
[supervision] (36/200) DenverCityCouncil_02222021 steps=2 nop=0 items=2 dirty=1
[supervision] (37/200) DenverCityCouncil_03072016 steps=5 nop=0 items=4 dirty=1
[supervision] (38/200) DenverCityCouncil_03102014 steps=3 nop=0 items=4 dirty=2
[supervision] (39/200) DenverCityCouncil_03192018 steps=5 nop=0 items=7 dirty=2
[supervision] (40/200) DenverCityCouncil_03302021 steps=6 nop=0 items=3 dirty=3
[supervision] (41/200) DenverCityCouncil_04032017 steps=5 nop=0 items=3 dirty=1
[supervision] (42/200) DenverCityCouncil_04092018 steps=5 nop=0 items=6 dirty=0
[supervision] (43/200) DenverCityCouncil_04132015 steps=2 nop=1 items=2 dirty=0
[supervision] (44/200) DenverCityCouncil_04132020 steps=4 nop=0 items=7 dirty=3
[supervision] (45/200) DenverCityCouncil_04182022 steps=5 nop=0 items=10 dirty=2
[supervision] (46/200) DenverCityCouncil_04192021 steps=2 nop=0 items=1 dirty=1
[supervision] (47/200) DenverCityCouncil_05032021 steps=6 nop=0 items=5 dirty=3
